UCOM/ALLC_PHL,Commodity Imports and Exports - Philippines
UCOM/ALLC_KNA,Commodity Imports and Exports - Saint Kitts and Nevis
UCOM/ALLC_QAT,Commodity Imports and Exports - Qatar
UCOM/ALLC_ROU,Commodity Imports and Exports - Romania
UCOM/ALLC_RWA,Commodity Imports and Exports - Rwanda
UCOM/ALLC_RUS,Commodity Imports and Exports - Russian Federation
UCOM/ALLC_VCT,Commodity Imports and Exports - Saint Vincent and the Grenadines
UCOM/ALLC_LCA,Commodity Imports and Exports - Saint Lucia
UCOM/ALLC_STP,Commodity Imports and Exports - Sao Tome and Principe
UCOM/ALLC_WSM,Commodity Imports and Exports - Samoa
UCOM/ALLC_SYC,Commodity Imports and Exports - Seychelles
UCOM/ALLC_SLE,Commodity Imports and Exports - Sierra Leone
UCOM/ALLC_SEN,Commodity Imports and Exports - Senegal
UCOM/ALLC_SRB,Commodity Imports and Exports - Serbia
UCOM/ALLC_SVN,Commodity Imports and Exports - Slovenia
UCOM/ALLC_SAU,Commodity Imports and Exports - Saudi Arabia
UCOM/ALLC_SVK,Commodity Imports and Exports - Slovakia
UCOM/ALLC_SGP,Commodity Imports and Exports - Singapore
UCOM/ALLC_ZAF,Commodity Imports and Exports - South Africa
UCOM/ALLC_ESP,Commodity Imports and Exports - Spain
UCOM/ALLC_LKA,Commodity Imports and Exports - Sri Lanka
UCOM/ALLC_SLB,Commodity Imports and Exports - Solomon Islands
UCOM/ALLC_SUR,Commodity Imports and Exports - Suriname
UCOM/ALLC_TJK,Commodity Imports and Exports - Tajikistan
UCOM/ALLC_SDN,Commodity Imports and Exports - Sudan
UCOM/ALLC_SWZ,Commodity Imports and Exports - Swaziland
UCOM/ALLC_SWE,Commodity Imports and Exports - Sweden
UCOM/ALLC_MKD,Commodity Imports and Exports - The former Yugoslav Republic of Macedonia
UCOM/ALLC_THA,Commodity Imports and Exports - Thailand
UCOM/ALLC_TGO,Commodity Imports and Exports - Togo
UCOM/ALLC_TTO,Commodity Imports and Exports - Trinidad and Tobago
UCOM/ALLC_SYR,Commodity Imports and Exports - Syrian Arab Republic
UCOM/ALLC_TUN,Commodity Imports and Exports - Tunisia
UCOM/ALLC_TLS,Commodity Imports and Exports - Timor-Leste
UCOM/ALLC_TON,Commodity Imports and Exports - Tonga
UCOM/ALLC_UGA,Commodity Imports and Exports - Uganda
UCOM/ALLC_TUR,Commodity Imports and Exports - Turkey
UCOM/ALLC_GBR,Commodity Imports and Exports - United Kingdom
UCOM/ALLC_UKR,Commodity Imports and Exports - Ukraine
UCOM/ALLC_ARE,Commodity Imports and Exports - United Arab Emirates
UCOM/ALLC_TUV,Commodity Imports and Exports - Tuvalu
UCOM/ALLC_URY,Commodity Imports and Exports - Uruguay
UCOM/ALLC_TZA,Commodity Imports and Exports - United Republic of Tanzania
UCOM/ALLC_VEN,Commodity Imports and Exports - Venezuela (Bolivarian Republic of)
UCOM/ALLC_VUT,Commodity Imports and Exports - Vanuatu
UCOM/ALLC_ZMB,Commodity Imports and Exports - Zambia
UCOM/ALLC_VNM,Commodity Imports and Exports - Viet Nam
UCOM/ALLC_ZWE,Commodity Imports and Exports - Zimbabwe
UCOM/LVAN_ALB,Trade in Live Animals - Albania
UCOM/ALLC_TKM,Commodity Imports and Exports - Turkmenistan
UCOM/LVAN_DZA,Trade in Live Animals - Algeria
UCOM/LVAN_AND,Trade in Live Animals - Andorra
UCOM/LVAN_ATG,Trade in Live Animals - Antigua and Barbuda
UCOM/LVAN_ARG,Trade in Live Animals - Argentina
UCOM/LVAN_AUS,Trade in Live Animals - Australia
UCOM/LVAN_AUT,Trade in Live Animals - Austria
UCOM/LVAN_BHR,Trade in Live Animals - Bahrain
